request_id,sample_id,condition,repetition,model,backend,task_type,transport,connection_mode,negotiated_http_version,completed,http_status,finish_reason,elapsed_seconds,input_tokens,output_tokens,token_f1,rouge_l,packets_total,bytes_total,packets_client_to_server,bytes_client_to_server,tcp_payload_bytes_client_to_server,packets_server_to_client,bytes_server_to_client,tcp_payload_bytes_server_to_client,tcp_retransmissions,udp_payload_bytes_client_to_server,udp_payload_bytes_server_to_client,quic_packets,tls_records,observed_tls_versions,observed_alpn,observed_tls_handshake_versions,observed_tls_supported_versions,workload,network_condition
conv-41::53::no_compression,conv-41::53,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,9.358412,48788,12,0.16666666666666669,0.16666666666666669,179,173397,149,167764,0,30,5633,0,0,161506,4373,179,0,,,,,qa,baseline_loopback
conv-42::67::longllmlingua_2x,conv-42::67,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,3.77324,21082,12,0.06451612903225805,0.0625,81,62668,60,57716,0,21,4952,0,0,55196,4070,81,0,,,,,qa,baseline_loopback
conv-42::67::longllmlingua_4x,conv-42::67,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,2.130914,11514,12,0.06451612903225805,0.0625,73,50575,47,39742,0,26,10833,0,0,37768,9741,73,0,,,,,qa,baseline_loopback
conv-42::67::no_compression,conv-42::67,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,10.774872,55634,7,0.07407407407407407,0.07142857142857142,162,165575,139,161599,0,23,3976,0,0,155761,3010,162,0,,,,,qa,baseline_loopback
conv-44::98::longllmlingua_2x,conv-44::98,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,4.159435,23111,9,0.6666666666666666,0.8333333333333333,80,64953,60,60760,0,20,4193,0,0,58240,3353,80,0,,,,,qa,baseline_loopback
conv-44::98::longllmlingua_4x,conv-44::98,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,2.251381,10627,20,0.0,0.0,73,41730,49,34677,0,24,7053,0,0,32619,6045,73,0,,,,,qa,baseline_loopback
conv-44::98::no_compression,conv-44::98,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,12.030177,59428,9,0.6666666666666666,0.8333333333333333,186,184600,155,179570,0,31,5030,0,0,173060,3728,186,0,,,,,qa,baseline_loopback
conv-47::150::longllmlingua_2x,conv-47::150,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,4.16829,21939,17,0.0,0.0,105,80884,78,74346,0,27,6538,0,0,71070,5404,105,0,,,,,qa,baseline_loopback
conv-47::150::longllmlingua_4x,conv-47::150,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,1.992984,10303,12,0.0,0.18181818181818182,62,41553,44,36849,0,18,4704,0,0,35001,3948,62,0,,,,,qa,baseline_loopback
conv-47::150::no_compression,conv-47::150,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,9.256244,47193,12,0.0,0.18181818181818182,166,162540,139,157359,0,27,5181,0,0,151521,4047,166,0,,,,,qa,baseline_loopback
conv-48::175::longllmlingua_2x,conv-48::175,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,3.213688,16530,21,0.2105263157894737,0.2105263157894737,93,60523,65,52986,0,28,7537,0,0,50256,6361,93,0,,,,,qa,baseline_loopback
conv-48::175::longllmlingua_4x,conv-48::175,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,2.115649,10051,21,0.2105263157894737,0.2105263157894737,77,40753,50,33308,0,27,7445,0,0,31208,6311,77,0,,,,,qa,baseline_loopback
conv-48::175::no_compression,conv-48::175,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,9.509675,48236,22,0.2,0.2,192,166803,150,157978,0,42,8825,0,0,151678,7061,192,0,,,,,qa,baseline_loopback
conv-49::105::longllmlingua_2x,conv-49::105,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,2.846997,15437,11,0.28571428571428575,0.42857142857142855,74,58325,56,53840,0,18,4485,0,0,51488,3729,74,0,,,,,qa,baseline_loopback
conv-49::105::longllmlingua_4x,conv-49::105,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,1.644289,8407,11,0.28571428571428575,0.42857142857142855,53,34903,37,30558,0,16,4345,0,0,29004,3673,53,0,,,,,qa,baseline_loopback
conv-49::105::no_compression,conv-49::105,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,7.081007,37386,11,0.7692307692307692,0.923076923076923,139,129369,112,124199,0,27,5170,0,0,119495,4036,139,0,,,,,qa,baseline_loopback
conv-50::135::longllmlingua_2x,conv-50::135,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,3.653423,20869,7,0.6666666666666665,0.888888888888889,83,75518,67,72083,0,16,3435,0,0,69269,2763,83,0,,,,,qa,baseline_loopback
conv-50::135::longllmlingua_4x,conv-50::135,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,2.242476,9517,29,0.06451612903225806,0.06451612903225806,94,46087,59,36155,0,35,9932,0,0,33677,8462,94,0,,,,,qa,baseline_loopback
conv-50::135::no_compression,conv-50::135,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,8.574049,45757,7,0.6666666666666665,0.888888888888889,167,158433,134,153727,0,33,4706,0,0,148099,3320,167,0,,,,,qa,baseline_loopback
