workload,condition,metric,n,median,ci_low,ci_high
qa,no_compression,bytes_client_to_server_ratio,16,1.0500100406432837,1.0466549944710652,1.0504711598253393
qa,no_compression,bytes_server_to_client_ratio,16,0.7858834058264561,0.7325038880248833,0.8363684818335259
qa,no_compression,bytes_total_ratio,16,1.0368787225524996,1.028622772080486,1.0400755920007705
qa,no_compression,packets_total_ratio,16,2.918640350877193,2.233148558758315,3.1403508771929824
qa,no_compression,elapsed_seconds_ratio,16,1.000596242891637,0.9994204300180726,1.0010288699444032
qa,longllmlingua_2x,bytes_client_to_server_ratio,16,1.0363950640853252,1.0331593490942583,1.039481774264383
qa,longllmlingua_2x,bytes_server_to_client_ratio,16,0.7162097809577617,0.6871716892452309,0.7566236041164879
qa,longllmlingua_2x,bytes_total_ratio,16,0.9962165654650872,0.9912908649576372,1.0106257694984209
qa,longllmlingua_2x,packets_total_ratio,16,1.5729638009049773,1.375,1.75
qa,longllmlingua_2x,elapsed_seconds_ratio,16,0.9985571860834856,0.9965091089950517,1.0014839485412546
qa,longllmlingua_4x,bytes_client_to_server_ratio,16,1.0233466722127553,1.017152600170503,1.0252272305694676
qa,longllmlingua_4x,bytes_server_to_client_ratio,16,0.7119378334797161,0.68608683589957,0.7670513084689883
qa,longllmlingua_4x,bytes_total_ratio,16,0.9661305624603399,0.9504343977825915,0.9696637341609688
qa,longllmlingua_4x,packets_total_ratio,16,1.1725546058879392,1.0819672131147542,1.2307692307692308
qa,longllmlingua_4x,elapsed_seconds_ratio,16,0.9985055776693322,0.996658804985331,1.0004930093798194
summary,no_compression,bytes_client_to_server_ratio,8,1.0628994631159383,1.0607758798957774,1.0649484536082474
summary,no_compression,bytes_server_to_client_ratio,8,0.9700424165884872,0.9651741743098541,0.9727056169089985
summary,no_compression,bytes_total_ratio,8,1.0087039462742822,1.0026213708654148,1.0160549361697282
summary,no_compression,packets_total_ratio,8,1.0658239951491972,1.0631994733377221,1.0917721518987342
summary,no_compression,elapsed_seconds_ratio,8,1.0001635131968318,0.999508871860157,1.000894393296882
summary,longllmlingua_2x,bytes_client_to_server_ratio,8,1.0688280280533902,1.0664019363978092,1.072734354493188
summary,longllmlingua_2x,bytes_server_to_client_ratio,8,0.9641621975420611,0.9629254854816153,0.9671576664385949
summary,longllmlingua_2x,bytes_total_ratio,8,0.994110537225339,0.9917980960183808,0.9966745305603677
summary,longllmlingua_2x,packets_total_ratio,8,1.0193121390760345,1.0153688524590163,1.0255748621371343
summary,longllmlingua_2x,elapsed_seconds_ratio,8,1.0004486582980208,1.000159468204674,1.0015388101923737
summary,longllmlingua_4x,bytes_client_to_server_ratio,8,1.0729977873030745,1.0521909719524511,1.0784141971446448
summary,longllmlingua_4x,bytes_server_to_client_ratio,8,0.9629762285012882,0.9506878766727749,0.9776576016345929
summary,longllmlingua_4x,bytes_total_ratio,8,0.9893818847902076,0.9755752759723227,0.9993136145818768
summary,longllmlingua_4x,packets_total_ratio,8,1.006711635308924,1.0019286403085825,1.014647137150466
summary,longllmlingua_4x,elapsed_seconds_ratio,8,1.0003759767589626,0.9994463628663304,1.001414263560163
