workload,transport,condition,metric,n,median,ci_low,ci_high
qa,tls13,longllmlingua_2x,input_tokens_ratio,16,0.42422621436259944,0.40782274066502316,0.45039452689558696
qa,tls13,longllmlingua_2x,bytes_client_to_server_ratio,16,0.4642332423873825,0.43615923332104684,0.4728354683383302
qa,tls13,longllmlingua_2x,bytes_total_ratio,16,0.48534609500129855,0.46830205526412294,0.5081891505138546
qa,tls13,longllmlingua_2x,packets_total_ratio,16,0.9417693169092944,0.896551724137931,1.0
qa,tls13,longllmlingua_2x,elapsed_seconds_ratio,16,0.42547055337618644,0.3988157705092712,0.44151671400646
qa,tls13,longllmlingua_4x,input_tokens_ratio,16,0.21981029276807418,0.21218353878188057,0.22575019544169822
qa,tls13,longllmlingua_4x,bytes_client_to_server_ratio,16,0.24417120952363,0.24010459130457334,0.2535807022855937
qa,tls13,longllmlingua_4x,bytes_total_ratio,16,0.28826371117566496,0.26973568613670024,0.3125996284927609
qa,tls13,longllmlingua_4x,packets_total_ratio,16,0.8792744573297651,0.8441558441558441,0.9793961648306814
qa,tls13,longllmlingua_4x,elapsed_seconds_ratio,16,0.230182425157059,0.2186648457014467,0.2634277366379223
qa,http3,longllmlingua_2x,input_tokens_ratio,16,0.42422621436259944,0.40782274066502316,0.45039452689558696
qa,http3,longllmlingua_2x,bytes_client_to_server_ratio,16,0.45823706261658465,0.4300907706258859,0.4688698065747246
qa,http3,longllmlingua_2x,bytes_total_ratio,16,0.4726107597348044,0.44650551609032785,0.49523970692389174
qa,http3,longllmlingua_2x,packets_total_ratio,16,0.541899441340782,0.5,0.59375
qa,http3,longllmlingua_2x,elapsed_seconds_ratio,16,0.42576938581467105,0.4020610345392965,0.4423420739659363
qa,http3,longllmlingua_4x,input_tokens_ratio,16,0.21981029276807418,0.21379789107021133,0.22575019544169822
qa,http3,longllmlingua_4x,bytes_client_to_server_ratio,16,0.2394292227595437,0.2333084799647427,0.24737303643928224
qa,http3,longllmlingua_4x,bytes_total_ratio,16,0.2706053353391186,0.25531968235463715,0.29089268018657727
qa,http3,longllmlingua_4x,packets_total_ratio,16,0.4080680031446541,0.37349397590361444,0.47619047619047616
qa,http3,longllmlingua_4x,elapsed_seconds_ratio,16,0.22801469021449458,0.21531238804854322,0.26294194980490393
summary,tls13,longllmlingua_2x,input_tokens_ratio,8,0.40211522802668415,0.38425007514277126,0.4058603736479843
summary,tls13,longllmlingua_2x,bytes_client_to_server_ratio,8,0.6199298933799049,0.5907215252084087,0.6665707538745461
summary,tls13,longllmlingua_2x,bytes_total_ratio,8,0.9379344073253879,0.8602213869247375,1.0457846966780928
summary,tls13,longllmlingua_2x,packets_total_ratio,8,1.171863400148478,1.0138248847926268,1.4748048261178142
summary,tls13,longllmlingua_2x,elapsed_seconds_ratio,8,0.9244541741447048,0.8213833676083585,0.9668058047905127
summary,tls13,longllmlingua_4x,input_tokens_ratio,8,0.2224895422548615,0.21534092951367673,0.2312291052114061
summary,tls13,longllmlingua_4x,bytes_client_to_server_ratio,8,0.4482965282417606,0.3821066417954875,0.5951277402340531
summary,tls13,longllmlingua_4x,bytes_total_ratio,8,0.8028381841926356,0.6343489219117787,1.0774219799665745
summary,tls13,longllmlingua_4x,packets_total_ratio,8,1.0966163954579078,0.7899934167215273,1.412769116555308
summary,tls13,longllmlingua_4x,elapsed_seconds_ratio,8,0.7387758754908049,0.6023362750309347,1.066919935821437
summary,http3,longllmlingua_2x,input_tokens_ratio,8,0.40211522802668415,0.38425007514277126,0.4058603736479843
summary,http3,longllmlingua_2x,bytes_client_to_server_ratio,8,0.6222888962426968,0.5958014533766551,0.6703130751588028
summary,http3,longllmlingua_2x,bytes_total_ratio,8,0.9310290166384012,0.8444798469059409,1.0171740732497994
summary,http3,longllmlingua_2x,packets_total_ratio,8,1.1166797797010228,0.9808049535603716,1.3691014867485456
summary,http3,longllmlingua_2x,elapsed_seconds_ratio,8,0.925787376226862,0.8221218898586814,0.9668423877912817
summary,http3,longllmlingua_4x,input_tokens_ratio,8,0.2224895422548615,0.21534092951367673,0.2312291052114061
summary,http3,longllmlingua_4x,bytes_client_to_server_ratio,8,0.4521555359943328,0.37812532444855546,0.6016869786336714
summary,http3,longllmlingua_4x,bytes_total_ratio,8,0.7799853703984625,0.6113805421919358,1.0547428580697662
summary,http3,longllmlingua_4x,packets_total_ratio,8,1.0221795883029692,0.7455108359133127,1.313474959952878
summary,http3,longllmlingua_4x,elapsed_seconds_ratio,8,0.7386606360981262,0.602531063928893,1.0674741001285308
