workload,transport,sample_id,condition,elapsed_seconds_ratio,input_tokens_ratio,output_tokens_ratio,packets_total_ratio,bytes_total_ratio,bytes_client_to_server_ratio,bytes_server_to_client_ratio
qa,tls13,conv-26::52,longllmlingua_2x,0.42524160454215915,0.42074087437609,0.76,0.7804878048780488,0.47987189328842994,0.4459105303388782,0.8114062361197477
qa,tls13,conv-26::52,longllmlingua_4x,0.25906013137003475,0.22575019544169825,0.76,0.7439024390243902,0.2943895533599122,0.2420467367961271,0.8053655503242427
qa,tls13,conv-26::55,longllmlingua_2x,0.385145728879421,0.40782274066502316,1.0,0.85,0.4568819839507374,0.43615923332104684,0.9558464610605725
qa,tls13,conv-26::55,longllmlingua_4x,0.3240206496623021,0.23399074018399374,7.0,1.7,0.3424049121006485,0.2632417987467748,2.248502329709341
qa,tls13,conv-26::62,longllmlingua_2x,0.41248581213912144,0.40126871505020745,1.2727272727272727,1.0,0.47301441938019995,0.43324433189279454,1.1142011834319527
qa,tls13,conv-26::62,longllmlingua_4x,0.2608208970602175,0.23387048283326317,1.2727272727272727,0.9629629629629629,0.3032562399025461,0.2535807022855937,1.1041420118343195
qa,tls13,conv-26::66,longllmlingua_2x,0.4839610609826933,0.41950999549075607,1.3703703703703705,1.1627906976744187,0.549280649260155,0.4728354683383302,1.2554762903902643
qa,tls13,conv-26::66,longllmlingua_4x,0.3008628060769833,0.22179467909213887,1.2222222222222223,1.0465116279069768,0.3519531089888101,0.2664213682202235,1.142089802769618
qa,tls13,conv-30::27,longllmlingua_2x,0.4654699333490591,0.42771155434910896,1.1176470588235294,1.0,0.5250667785160821,0.4690323760746296,1.0598161294076573
qa,tls13,conv-30::27,longllmlingua_4x,0.29558448648249,0.23391950902867933,1.1176470588235294,0.96875,0.33531645290183004,0.2602402292543138,1.0517863377167462
qa,tls13,conv-30::77,longllmlingua_2x,0.44119593266100515,0.4277508949998033,0.9285714285714286,0.896551724137931,0.506766497178298,0.4658558943958932,0.943155149934811
qa,tls13,conv-30::77,longllmlingua_4x,0.26603457621562704,0.22872654313702348,0.9285714285714286,0.8620689655172413,0.31715930044141477,0.259304528509442,0.9342894393741852
qa,tls13,conv-41::53,longllmlingua_2x,0.4264037431655969,0.45021316717225546,1.0833333333333333,0.9491525423728814,0.4867618328479139,0.4626105903788718,1.0258560447239693
qa,tls13,conv-41::53,longllmlingua_4x,0.21447143634144072,0.2159957366565549,1.0833333333333333,0.8813559322033898,0.2693538527920607,0.23628303623419802,1.0075471698113208
qa,tls13,conv-42::67,longllmlingua_2x,0.35091091016898907,0.3789409353992163,1.7142857142857142,1.0612244897959184,0.3937034062099952,0.36264279259071436,1.2546404757613985
qa,tls13,conv-42::67,longllmlingua_4x,0.2258797806107323,0.20695977280080527,1.7142857142857142,0.7755102040816326,0.26973568613670024,0.2462956822511329,0.9194449450351415
qa,tls13,conv-44::98,longllmlingua_2x,0.3474055112883741,0.3888907585649862,1.0,0.8679245283018868,0.36479443468833467,0.3429256875365711,0.9678876875907697
qa,tls13,conv-44::98,longllmlingua_4x,0.18730623368938049,0.17882143097529785,2.2222222222222223,1.2075471698113207,0.24444795789877863,0.1981392627267408,1.5215426819428757
qa,tls13,conv-47::150,longllmlingua_2x,0.4512722545756847,0.46487826584451086,1.4166666666666667,1.1228070175438596,0.5107395982051806,0.4772564959986117,1.2199915170366182
qa,tls13,conv-47::150,longllmlingua_4x,0.21636755676500072,0.21831627571885662,1.0,0.8771929824561403,0.27312997144605344,0.24013002009037332,0.9721476035628446
qa,tls13,conv-48::175,longllmlingua_2x,0.340397046389243,0.3426901069740443,0.9545454545454546,0.8831168831168831,0.37930347391296226,0.34026373216946987,0.9493830758768095
qa,tls13,conv-48::175,longllmlingua_4x,0.22285825506145268,0.20837134090720624,0.9545454545454546,0.8441558441558441,0.26247688312982187,0.21587582499467745,0.9429709511318372
qa,tls13,conv-49::105,longllmlingua_2x,0.4032546541537424,0.4129085754025571,1.0,0.9090909090909091,0.46830205526412294,0.43911893085258774,0.980621301775148
qa,tls13,conv-49::105,longllmlingua_4x,0.23448506970338573,0.22487027229444176,1.0,0.8363636363636363,0.2910853516590398,0.2529534691676357,0.9605029585798817
qa,tls13,conv-50::135,longllmlingua_2x,0.42569950221021374,0.4560832222392202,1.0,0.9361702127659575,0.4922075697893475,0.4736608332593053,0.9881235154394299
qa,tls13,conv-50::135,longllmlingua_4x,0.26161037744691396,0.20799003431169003,4.142857142857143,1.7234042553191489,0.3125996284927609,0.24016509385613055,2.2494061757719717
qa,tls13,conv-50::4,longllmlingua_2x,0.44151671400646,0.4665704981094136,1.0,0.9473684210526315,0.5081891505138546,0.4848414592567337,0.991114245416079
qa,tls13,conv-50::4,longllmlingua_4x,0.21542562187152337,0.2171879439599589,1.0,0.8771929824561403,0.2738714713152075,0.240109103307194,0.9722143864598025
qa,tls13,conv-50::55,longllmlingua_2x,0.4432682324123432,0.4692717894920885,1.0,0.9473684210526315,0.5152017689331122,0.4921898969789117,0.9908399098083427
qa,tls13,conv-50::55,longllmlingua_4x,0.2235319282856898,0.2213043098172917,1.0833333333333333,0.9122807017543859,0.28544207069229016,0.24998465933496514,1.0183201803833146
qa,tls13,conv-50::85,longllmlingua_2x,0.41687883709844265,0.45039452689558696,1.0,0.9302325581395349,0.48393035715468313,0.4673293608171252,0.9865368682684341
qa,tls13,conv-50::85,longllmlingua_4x,0.19710751408452962,0.2138095342178313,1.0,0.8372093023255814,0.26086265471956765,0.23781050960860908,0.9587821043910522
