x,label,qa_tls13,qa_http3,summary_tls13,summary_http3
0,Original,147.85791015625,154.22998046875,378.15283203125,381.6728515625
1,2x,62.17919921875,62.31494140625,342.63818359375,342.4599609375
2,4x,41.1416015625,39.8232421875,330.5009765625,326.076171875
