workload,workload_code,transport,transport_code,condition,condition_code,metric,n,median,q1,q3,ci_low,ci_high
summary,1,tls13,0,longllmlingua_2x,1,input_tokens,8,14204.5,12167.75,21867.25,10319.0,22573.0
summary,1,tls13,0,longllmlingua_2x,1,output_tokens,8,775.0,739.0,987.25,673.0,1024.0
summary,1,tls13,0,longllmlingua_2x,1,packets_total,8,1577.5,1498.25,2005.5,1373.0,2076.0
summary,1,tls13,0,longllmlingua_2x,1,bytes_total,8,350861.5,327651.5,451662.25,308735.0,459157.0
summary,1,tls13,0,longllmlingua_2x,1,bytes_client_to_server,8,100089.0,88655.0,120427.75,85667.0,127408.0
summary,1,tls13,0,longllmlingua_2x,1,bytes_server_to_client,8,251991.0,239160.75,319933.0,219084.0,331063.0
summary,1,tls13,0,longllmlingua_4x,2,elapsed_seconds,8,20.754643,14.281363749999999,24.311192249999998,10.674862,25.631526
summary,1,tls13,0,longllmlingua_4x,2,input_tokens,8,7950.0,7163.0,10902.0,5879.0,11982.0
summary,1,tls13,0,longllmlingua_4x,2,output_tokens,8,786.5,530.0,960.25,359.0,981.5
summary,1,tls13,0,longllmlingua_4x,2,packets_total,8,1594.0,1086.5,1945.75,885.0,1989.5
summary,1,tls13,0,longllmlingua_4x,2,bytes_total,8,338433.0,236707.25,400790.75,169874.0,419546.0
summary,1,tls13,0,longllmlingua_4x,2,bytes_client_to_server,8,81243.0,63361.0,90966.25,51484.0,93067.0
summary,1,tls13,0,longllmlingua_4x,2,bytes_server_to_client,8,254609.0,173346.25,311115.0,118390.0,318106.0
summary,1,http3,1,no_compression,0,elapsed_seconds,8,24.052303000000002,21.511818499999997,30.9580775,19.862654,33.832886
summary,1,http3,1,no_compression,0,input_tokens,8,35326.5,31308.75,52039.75,25425.0,55642.0
summary,1,http3,1,no_compression,0,output_tokens,8,698.0,631.75,776.75,556.0,881.0
summary,1,http3,1,no_compression,0,packets_total,8,1526.5,1381.75,1691.75,1222.0,1922.0
summary,1,http3,1,no_compression,0,bytes_total,8,390833.0,350941.0,459976.5,325171.0,501594.0
summary,1,http3,1,no_compression,0,bytes_client_to_server,8,169371.5,149385.75,226141.5,135870.0,228984.0
summary,1,http3,1,no_compression,0,bytes_server_to_client,8,220390.5,199313.5,244798.75,171280.0,276400.0
summary,1,http3,1,longllmlingua_2x,1,elapsed_seconds,8,21.244612,19.849151,28.436629500000002,18.502172,29.005086
summary,1,http3,1,longllmlingua_2x,1,input_tokens,8,14204.5,12167.75,21867.25,10319.0,22573.0
summary,1,http3,1,longllmlingua_2x,1,output_tokens,8,775.0,739.0,987.25,673.0,999.5
summary,1,http3,1,longllmlingua_2x,1,packets_total,8,1607.5,1530.0,2054.75,1404.0,2108.0
summary,1,http3,1,longllmlingua_2x,1,bytes_total,8,350679.0,324365.75,448125.0,306836.0,456060.0
summary,1,http3,1,longllmlingua_2x,1,bytes_client_to_server,8,107270.5,94602.25,129125.5,91597.0,136429.0
summary,1,http3,1,longllmlingua_2x,1,bytes_server_to_client,8,243408.5,231767.0,308365.5,211232.0,318789.0
summary,1,http3,1,longllmlingua_4x,2,elapsed_seconds,8,20.769587,14.28589075,24.32499425,11.4750815,25.585454
summary,1,http3,1,longllmlingua_4x,2,input_tokens,8,7950.0,7163.0,10902.0,5879.0,11714.0
summary,1,http3,1,longllmlingua_4x,2,output_tokens,8,786.5,530.0,960.25,359.0,1024.0
summary,1,http3,1,longllmlingua_4x,2,packets_total,8,1611.0,1092.25,1955.75,757.0,2078.0
summary,1,http3,1,longllmlingua_4x,2,bytes_total,8,333902.0,231486.75,396069.75,170697.0,413853.0
summary,1,http3,1,longllmlingua_4x,2,bytes_client_to_server,8,87696.0,67328.25,97688.0,54171.0,99713.0
summary,1,http3,1,longllmlingua_4x,2,bytes_server_to_client,8,243748.5,164158.5,299610.5,116526.0,319055.0
