x,label,upload_kib,download_kib,output_share_pct
0,TLS Original,155.61474609375,221.77001953125,58.76496343565141
1,TLS 2x,97.7431640625,246.0849609375,71.57208588957054
2,TLS 4x,79.3388671875,248.6416015625,75.80988054261996
4,H3 Original,165.40185546875,215.22509765625,56.54489149788845
5,H3 2x,104.75634765625,237.70361328125,69.41062909384365
6,H3 4x,85.640625,238.03564453125,73.54127161560984
