category,method_display,method_family,budget_label,token_f1,rouge_l,exact_match,date_f1,number_f1,entity_f1,llm_judge_score,evidence_recall,evidence_session_recall,answerable_context_rate
1,bm25,real_method,1024,0.04945584587119752,0.08259638804202588,0.0,,,0.0,0.375,0.1177248677248677,0.45185185185185184,0.0
1,bm25,real_method,128,0.03065134099616858,0.08763497039359108,0.0,,,0.1111111111111111,0.2222222222222222,0.015873015873015872,0.12407407407407407,0.0
1,bm25,real_method,2048,0.06052213431523776,0.13313531963417546,0.0,,,0.10582010582010581,0.5625,0.13994708994708993,0.6222222222222222,0.2222222222222222
1,bm25,real_method,256,0.028985507246376812,0.07140974967061924,0.0,,,0.1111111111111111,0.2222222222222222,0.015873015873015872,0.18333333333333332,0.0
1,bm25,real_method,4096,0.038833987445530196,0.13548749763538495,0.0,,,0.10582010582010581,0.6111111111111112,0.16772486772486772,0.9407407407407408,0.2222222222222222
1,bm25,real_method,512,0.043915343915343914,0.1061188596072317,0.0,,,0.0,0.3888888888888889,0.08068783068783068,0.34074074074074073,0.0
1,bm25,real_method,64,0.012345679012345678,0.03805689747718734,0.0,,,0.0,0.1111111111111111,0.015873015873015872,0.05925925925925926,0.0
1,bm25,real_method,None,0.06492401275821241,0.14495419437948176,0.0,,,0.10582010582010581,0.5555555555555556,0.1955026455026455,0.9629629629629629,0.2222222222222222
1,bm25_window,real_method,1024,0.09405744014439667,0.22103307320698626,0.0,,,0.07407407407407407,0.5555555555555556,0.28650793650793654,0.5629629629629629,0.2222222222222222
1,bm25_window,real_method,128,0.03529411764705883,0.1019607843137255,0.0,,,0.18518518518518517,0.1875,0.08174603174603175,0.28148148148148144,0.1111111111111111
1,bm25_window,real_method,2048,0.07141500474833808,0.17642636137259793,0.0,,,0.07407407407407407,0.5,0.28650793650793654,0.5851851851851851,0.2222222222222222
1,bm25_window,real_method,256,0.035273368606701945,0.13423120089786755,0.0,,,0.07407407407407407,0.3333333333333333,0.14656084656084656,0.3592592592592593,0.1111111111111111
1,bm25_window,real_method,4096,0.07618101749199309,0.12409039866915814,0.0,,,0.11851851851851852,0.5,0.3235449735449735,0.6814814814814815,0.2222222222222222
1,bm25_window,real_method,512,0.06416571933813314,0.15860461377702756,0.0,,,0.07407407407407407,0.4444444444444444,0.20582010582010582,0.337037037037037,0.1111111111111111
1,bm25_window,real_method,64,0.03321256038647343,0.04125224969214739,0.0,,,0.1111111111111111,0.0,0.015873015873015872,0.28148148148148144,0.0
1,bm25_window,real_method,None,0.060712600853509456,0.12420998746138384,0.0,,,0.05555555555555555,0.5555555555555556,0.49867724867724866,1.0,0.2222222222222222
1,dense_retrieval,real_method,1024,0.04133118625872249,0.1032260810350698,0.0,,0.0,0.0962962962962963,0.4444444444444444,0.214021164021164,0.4574074074074074,0.1111111111111111
1,dense_retrieval,real_method,128,0.027777777777777773,0.027777777777777773,0.0,,,0.1111111111111111,0.16666666666666666,0.0,0.07407407407407407,0.0
1,dense_retrieval,real_method,2048,0.07423339331234068,0.13423481280624136,0.0,,,0.10582010582010581,0.5,0.3880952380952381,0.8,0.1111111111111111
1,dense_retrieval,real_method,256,0.04133118625872249,0.11708876201629824,0.0,,,0.18518518518518517,0.3888888888888889,0.07407407407407407,0.17592592592592593,0.0
1,dense_retrieval,real_method,4096,0.07037276005965766,0.15774173780709727,0.0,,,0.09259259259259259,0.5555555555555556,0.5650793650793651,0.9055555555555556,0.1111111111111111
1,dense_retrieval,real_method,512,0.048295831152974006,0.07189616967394745,0.0,,,0.037037037037037035,0.4444444444444444,0.17592592592592593,0.2685185185185185,0.0
1,dense_retrieval,real_method,64,0.012345679012345678,0.02345679012345679,0.0,,,0.1111111111111111,0.0,0.0,0.0,0.0
1,dense_retrieval,real_method,None,0.08089907584913134,0.11159912428097123,0.0,,,0.09259259259259259,0.5,0.5650793650793651,0.9055555555555556,0.1111111111111111
1,dense_retrieval_window,real_method,1024,0.07451754722286125,0.2386227033334374,0.0,,,0.07407407407407407,0.7222222222222222,0.4809523809523809,0.5407407407407407,0.2222222222222222
1,dense_retrieval_window,real_method,128,0.013071895424836603,0.10465438700732818,0.0,,,0.18518518518518517,0.2222222222222222,0.13333333333333333,0.28148148148148144,0.1111111111111111
1,dense_retrieval_window,real_method,2048,0.064573268921095,0.22765019199801811,0.0,,,0.07407407407407407,0.6666666666666666,0.5365079365079365,0.6000000000000001,0.2222222222222222
1,dense_retrieval_window,real_method,256,0.05278963173700016,0.13937621832358674,0.0,,,0.07407407407407407,0.3333333333333333,0.18888888888888888,0.28148148148148144,0.1111111111111111
1,dense_retrieval_window,real_method,4096,0.053254347991190096,0.19814077797948765,0.0,,,0.07407407407407407,0.6111111111111112,0.6105820105820106,0.6592592592592593,0.2222222222222222
1,dense_retrieval_window,real_method,512,0.10322101550171726,0.23644633469194876,0.0,,,0.07407407407407407,0.6666666666666666,0.3328042328042328,0.337037037037037,0.1111111111111111
1,dense_retrieval_window,real_method,64,0.01932367149758454,0.06521739130434782,0.0,,,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.28148148148148144,0.0
1,dense_retrieval_window,real_method,None,0.06557584238925958,0.08785015282611916,0.0,0.0,0.0,0.06153846153846154,0.7222222222222222,0.8253968253968255,0.9277777777777777,0.2222222222222222
1,hybrid,real_method,1024,0.05846179240409355,0.08371889037456758,0.0,,,0.1111111111111111,0.16666666666666666,0.08994708994708994,0.6000000000000001,0.0
1,hybrid,real_method,128,0.01932367149758454,0.03043478260869565,0.0,,,0.0,0.05555555555555555,0.0,0.0,0.0
1,hybrid,real_method,2048,0.08369065574947929,0.1763532228005912,0.0,,,0.07407407407407407,0.5,0.11216931216931217,0.7111111111111111,0.1111111111111111
1,hybrid,real_method,256,0.011695906432748539,0.011695906432748539,0.0,,,0.07407407407407407,0.16666666666666666,0.0,0.10185185185185185,0.0
1,hybrid,real_method,4096,0.0636945866744351,0.1275687722547626,0.0,,,0.07407407407407407,0.5625,0.1558201058201058,0.9555555555555555,0.2222222222222222
1,hybrid,real_method,512,0.026510721247563356,0.051728586171310625,0.0,,,0.1111111111111111,0.16666666666666666,0.05291005291005291,0.3648148148148148,0.0
1,hybrid,real_method,64,0.012345679012345678,0.02200751476113795,0.0,,,0.1111111111111111,0.0,0.0,0.027777777777777776,0.0
1,hybrid,real_method,None,0.06806450101166969,0.13222315512551974,0.0,,,0.07407407407407407,0.5625,0.19285714285714287,0.9555555555555555,0.2222222222222222
1,last_k_turns,real_method,1024,0.022090053164632157,0.04037617554858935,0.0,,,0.0,0.1111111111111111,0.0,0.0,0.0
1,last_k_turns,real_method,128,0.022090053164632157,0.04037617554858935,0.0,,,0.0,0.1111111111111111,0.0,0.0,0.0
1,last_k_turns,real_method,2048,0.022090053164632157,0.04037617554858935,0.0,,,0.0,0.1111111111111111,0.0,0.0,0.0
1,last_k_turns,real_method,256,0.022090053164632157,0.04037617554858935,0.0,,,0.0,0.1111111111111111,0.0,0.0,0.0
1,last_k_turns,real_method,4096,0.022090053164632157,0.04037617554858935,0.0,,,0.0,0.1111111111111111,0.0,0.0,0.0
